Year,AnnualMaxLoss
630,544468.918357
631,97864.937805
632,441984.021368
633,355178462.329022
634,12662046.947465
635,285774131.232138
636,128083932.891971
637,1528609.626421
638,1158734.119496
639,708108.089045
640,266261.772369
641,944967.422687
642,550798.512808
643,284497447.664152
644,38206382.107331
645,2198085.829425
646,292882.187417
647,1426439563.202850
648,4337083.265550
649,1507340.495526
650,418907642.760383
651,10167237.681786
652,170424.438653
653,1568861.678396
654,37203054.016914
655,313146.991885
656,15312453.563619
657,310975.420057
658,22498009.594740
659,2697695.658225
660,10516463.905399
661,27317877.123268
662,196989.061086
663,57917458.769097
664,170879773.300839
665,16053963.281762
666,1120773.862656
667,516405.572362
668,153.980700
669,22965919.605496
670,9667820.954236
671,95109613.364179
672,2976462.219870
673,425.366395
674,1271037.409516
675,2614378.096793
676,10890737.177589
677,119288.431276
678,4864945.327396
679,97574478.847997
680,13394990.398647
681,215528932.334274
682,50804278.966817
683,606290338.585261
684,6829262.034330
685,2021414.712468
686,15884863.402015
687,8790317.903353
688,35803.877536
689,853075.606333
690,3685040.195036
691,25250312.482674
692,166602.173756
693,38023553.108612
694,18267544.632039
695,134564.555323
696,3953832.896795
697,923229.751093
698,2690374.428078
699,1779236.854162
700,22419375.166946
701,36049559.776847
702,18679824.478650
703,78743679.123545
704,235876.048532
705,25515303.890496
706,3238681.042588
707,599633.075102
708,646655.973293
709,7657696.524249
710,5717166.177185
711,1437.036585
712,1536265.768221
713,480150.451781
714,151442.271669
715,624652.610568
716,59226296.439158
717,3224836.565080
718,139328413.072548
719,1785534.043161
720,41439.718939
721,4388368.451946
722,7982331.479113
723,363608366.468824
724,35006.916346
725,137563140.031336
726,327505118.575309
727,34650083.214708
728,220550803.253697
729,6733224.496618
730,4298060.014332
731,20195141.714418
732,275202764.001963
733,124796073.789106
734,11566583.600606
735,237119849.043173
736,1296479.345869
737,48562866.501529
738,21945062.718807
739,10745332.452873
740,9047705.748052
741,2443949429.969568
742,124142612.713293
743,275879.873424
744,2836975560.177845
745,4514216.156388
746,5156174.085597
747,17194932.385305
748,8083635.678310
749,665992.886486
750,359603.972905
751,30761244.053053
752,18680103.517373
753,35712621.790706
754,5559019.727833
755,1444631.464409
756,40321588.150636
757,17513966.687443
758,85853.574665
759,286399651.794796
760,6445932.391837
761,1173713.094573
762,82756679.549812
763,292306153.460271
764,93754189.297309
765,111031.295228
766,926273851.410873
767,57529547.666308
768,402353309.028879
769,126159900.151706
770,2223507.787090
771,35968282.506278
772,3084904.787142
773,2699852.349362
774,326209.747930
775,1383841936.662025
776,310880.088907
777,2238602.189401
778,73295145.977482
779,713022.708741
780,302777.663642
781,32353658.541361
782,111099.305218
783,6767583.149890
784,2479596.332296
785,7574.858876
786,13796957.407069
787,487462.939316
788,19289492.105140
789,559706.047835
790,2523074.683518
791,44715477.183965
792,9228284.463672
793,19405567.936384
794,186057096.099267
795,416574642.899160
796,15497575.176844
797,575365201.458231
798,71368762.620718
799,1057507.971278
800,1204692.676408
801,951443.562889
802,19479308.178948
803,186633.262379
804,2637684.986432
805,106578206.878876
806,88590423.914898
807,1345674.488214
808,66441308.262823
809,4538733.968116
810,2851.884355
811,1524576681.985070
812,633609672.266781
813,2175.821742
814,2797383.562891
815,105575798.277160
816,165750.858331
